time,heap,rss,score,score_debug,recent_feature,entire_feature,s_recent:heap,s_recent:rss,s_entire:heap,s_entire:rss
2025-08-26T18:13:20Z,42876928,126775296,0.080,0.046,0.0920,0.0000,0.0001,0.3065,0.0000,0.0000
2025-08-26T18:13:25Z,44982272,126775296,0.090,0.052,0.1037,0.0000,0.0001,0.3454,0.0000,0.0000
2025-08-26T18:13:30Z,43794432,129806336,0.100,0.057,0.1147,0.0000,0.0001,0.3822,0.0000,0.0000
2025-08-26T18:13:35Z,44187648,129806336,0.109,0.063,0.1251,0.0000,0.0001,0.4168,0.0000,0.0000
2025-08-26T18:13:40Z,39985152,130887680,0.117,0.067,0.1349,0.0000,0.0001,0.4496,0.0000,0.0000
2025-08-26T18:13:45Z,40067072,130887680,0.125,0.072,0.1442,0.0000,0.0001,0.4805,0.0000,0.0000
2025-08-26T18:13:50Z,40337408,130887680,0.133,0.076,0.1529,0.0000,0.0001,0.5096,0.0000,0.0000
2025-08-26T18:13:55Z,38854656,130887680,0.140,0.081,0.1612,0.0000,0.0001,0.5371,0.0000,0.0000
2025-08-26T18:14:00Z,37806080,130887680,0.147,0.084,0.1690,0.0000,0.0001,0.5631,0.0000,0.0000
2025-08-26T18:14:05Z,37945344,130887680,0.153,0.088,0.1763,0.0000,0.0001,0.5876,0.0000,0.0000
2025-08-26T18:14:10Z,40960000,141078528,0.159,0.092,0.1833,0.0000,0.0000,0.6108,0.0000,0.0000
2025-08-26T18:14:15Z,41140224,141078528,0.165,0.095,0.1898,0.0000,0.0000,0.6326,0.0000,0.0000
2025-08-26T18:14:20Z,41803776,141078528,0.170,0.098,0.1960,0.0000,0.0000,0.6532,0.0000,0.0000
2025-08-26T18:14:25Z,37732352,131137536,0.175,0.101,0.2019,0.0000,0.0000,0.6727,0.0000,0.0000
2025-08-26T18:14:30Z,37437440,131137536,0.180,0.104,0.2074,0.0000,0.0000,0.6911,0.0000,0.0000
2025-08-26T18:14:35Z,37527552,131137536,0.184,0.106,0.2125,0.0000,0.0000,0.7083,0.0000,0.0000
2025-08-26T18:14:40Z,37568512,131137536,0.188,0.109,0.2174,0.0000,0.0000,0.7246,0.0000,0.0000
2025-08-26T18:14:45Z,36462592,131137536,0.192,0.111,0.2220,0.0000,0.0000,0.7398,0.0000,0.0000
2025-08-26T18:14:50Z,36511744,131137536,0.194,0.112,0.2234,0.0000,0.0000,0.7447,0.0000,0.0000
2025-08-26T18:14:55Z,35823616,130772992,0.194,0.112,0.2241,0.0000,0.0000,0.7468,0.0000,0.0000
2025-08-26T18:15:00Z,35938304,130772992,0.183,0.106,0.2115,0.0000,0.0000,0.7049,0.0000,0.0000
2025-08-26T18:15:05Z,36028416,130772992,0.173,0.100,0.1996,0.0000,0.0000,0.6653,0.0000,0.0000
2025-08-26T18:15:10Z,36397056,131010560,0.164,0.094,0.1884,0.0000,0.0000,0.6280,0.0000,0.0000
2025-08-26T18:15:15Z,40247296,131010560,0.154,0.089,0.1778,0.0000,0.0000,0.5927,0.0000,0.0000
2025-08-26T18:15:20Z,39968768,133709824,0.146,0.084,0.1679,0.0000,0.0000,0.5595,0.0000,0.0000
2025-08-26T18:15:25Z,40116224,133709824,0.138,0.079,0.1584,0.0000,0.0000,0.5281,0.0000,0.0000
2025-08-26T18:15:30Z,53026816,133709824,0.130,0.075,0.1495,0.0000,0.0000,0.4984,0.0000,0.0000
2025-08-26T18:15:35Z,32956416,126328832,0.123,0.071,0.1412,0.0000,0.0000,0.4704,0.0000,0.0000
2025-08-26T18:15:40Z,33816576,126971904,0.116,0.067,0.1332,0.0000,0.0000,0.4440,0.0000,0.0000
2025-08-26T18:15:45Z,34840576,127778816,0.109,0.063,0.1258,0.0000,0.0000,0.4191,0.0000,0.0000
2025-08-26T18:15:50Z,47382528,128049152,0.103,0.059,0.1187,0.0000,0.0000,0.3956,0.0000,0.0000
2025-08-26T18:15:55Z,47652864,128589824,0.098,0.056,0.1120,0.0000,0.0000,0.3734,0.0000,0.0000
2025-08-26T18:16:00Z,32948224,125235200,0.092,0.053,0.1057,0.0000,0.0000,0.3524,0.0000,0.0000
2025-08-26T18:16:05Z,33341440,125235200,0.087,0.050,0.0998,0.0000,0.0000,0.3327,0.0000,0.0000
2025-08-26T18:16:10Z,34594816,126042112,0.082,0.047,0.0942,0.0000,0.0000,0.3140,0.0000,0.0000
2025-08-26T18:16:15Z,34750464,126042112,0.078,0.044,0.0889,0.0000,0.0000,0.2964,0.0000,0.0000
2025-08-26T18:16:20Z,34807808,126042112,0.073,0.042,0.0839,0.0000,0.0000,0.2797,0.0000,0.0000
2025-08-26T18:16:25Z,47554560,126042112,0.069,0.040,0.0792,0.0000,0.0000,0.2640,0.0000,0.0000
2025-08-26T18:16:30Z,45891584,130150400,0.065,0.037,0.0748,0.0000,0.0000,0.2492,0.0000,0.0000
2025-08-26T18:16:35Z,42770432,131502080,0.062,0.035,0.0706,0.0000,0.0000,0.2352,0.0000,0.0000
2025-08-26T18:16:40Z,43483136,131502080,0.058,0.033,0.0666,0.0000,0.0000,0.2220,0.0000,0.0000
